# Wavelength Field  x y rms
1.6580 3.0000 -0.0000 -54.2941 0.0088
1.6580 4.0000 9.0393 -54.2978 0.0093
1.6580 5.0000 18.0853 -54.3093 0.0111
1.6590 1.0000 -18.0876 -55.0313 0.0113
1.6590 2.0000 -9.0404 -55.0193 0.0096
1.6590 3.0000 -0.0000 -55.0155 0.0090
1.6590 4.0000 9.0404 -55.0193 0.0096
1.6590 5.0000 18.0876 -55.0313 0.0113
1.6600 1.0000 -18.0899 -55.7559 0.0116
1.6600 2.0000 -9.0415 -55.7434 0.0099
1.6600 3.0000 -0.0000 -55.7394 0.0093
1.6600 4.0000 9.0415 -55.7434 0.0099
1.6600 5.0000 18.0899 -55.7559 0.0116
1.6610 1.0000 -18.0923 -56.4830 0.0119
1.6610 2.0000 -9.0427 -56.4701 0.0101
1.6610 3.0000 -0.0000 -56.4659 0.0096
1.6610 4.0000 9.0427 -56.4701 0.0101
1.6610 5.0000 18.0923 -56.4830 0.0119
1.6620 1.0000 -18.0947 -57.2127 0.0121
1.6620 2.0000 -9.0439 -57.1993 0.0104
1.6620 3.0000 -0.0000 -57.1950 0.0098
1.6620 4.0000 9.0439 -57.1993 0.0104
1.6620 5.0000 18.0947 -57.2127 0.0121
1.6630 1.0000 -18.0971 -57.9451 0.0124
1.6630 2.0000 -9.0451 -57.9312 0.0107
1.6630 3.0000 -0.0000 -57.9268 0.0101
1.6630 4.0000 9.0451 -57.9312 0.0107
1.6630 5.0000 18.0971 -57.9451 0.0124
1.6640 1.0000 -18.0996 -58.6802 0.0127
1.6640 2.0000 -9.0463 -58.6658 0.0110
1.6640 3.0000 -0.0000 -58.6612 0.0104
1.6640 4.0000 9.0463 -58.6658 0.0110
1.6640 5.0000 18.0996 -58.6802 0.0127
1.6650 1.0000 -18.1021 -59.4180 0.0130
1.6650 2.0000 -9.0476 -59.4031 0.0113
1.6650 3.0000 -0.0000 -59.3983 0.0107
1.6650 4.0000 9.0476 -59.4031 0.0113
1.6650 5.0000 18.1021 -59.4180 0.0130
1.6660 1.0000 -18.1046 -60.1585 0.0133
1.6660 2.0000 -9.0488 -60.1431 0.0116
1.6660 3.0000 -0.0000 -60.1381 0.0110
1.6660 4.0000 9.0488 -60.1431 0.0116
1.6660 5.0000 18.1046 -60.1585 0.0133
1.6670 1.0000 -18.1073 -60.9018 0.0136
1.6670 2.0000 -9.0501 -60.8858 0.0119
1.6670 3.0000 -0.0000 -60.8807 0.0113
